Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Massively Parallel Patterning of Complex 2D and 3D Functional Polymer Brushes by Polymer Pen Lithography,"['Xie, Zhuang', 'Chen, Chaojian', 'Zhou, Xuechang', 'Gao, Tingting', 'Liu, Danqing', 'Miao, Qian', 'Zheng, Zijian']",ACS APPLIED MATERIALS & INTERFACES,6,15,AUG 13 2014,tczzheng@polyu.edu.hk,"Hong Kong Polytech Univ, Shenzhen Res Inst, Shenzhen, Peoples R China.","['Science & Technology - Other Topics', 'Materials Science']","['polymer pen lithography', 'polymer brushes', 'three-dimensional structures', 'micro/nanofabrication', 'biomolecular array']","['TRANSFER RADICAL POLYMERIZATION', 'SURFACE-INITIATED POLYMERIZATION', 'FEATURE SIZE', 'TIP ARRAYS', 'FABRICATION', 'GRADIENTS', 'NANOLITHOGRAPHY', 'NANOSTRUCTURES', 'MICROARRAYS', 'MONOLAYERS']","[['National Natural Science Foundation of China', '51273167'], ['General Research Fund of Hong Kong', 'PolyU5041/11P']]"
Reactions in Elastomeric Nanoreactors Reveal the Role of Force on the Kinetics of the Huisgen Reaction on Surfaces,"['Han, Xu', 'Bian, Shudan', 'Liang, Yong', 'Houk, K. N.', 'Braunschweig, Adam B.']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,136,30,JUL 30 2014,a.braunschweig@miami.edu,"Univ Miami, Dept Chem, Coral Gables, FL 33146 USA.",['Chemistry'],[],"['POLYMER-PEN LITHOGRAPHY', 'CLICK CHEMISTRY', 'HETEROGENEOUS CATALYSIS', 'MECHANICAL ACTIVATION', 'HIGH-PRESSURE', 'MECHANOCHEMISTRY', 'ISOMERIZATION', 'MOLECULES', 'ARRAYS']","[['Air Force Office of Scientific Research', 'FA9550-13-1-0188'], ['National Science Foundation', 'DBI-1340038\xa0\nCHE-1059084'], ['NSF', 'OCI-1053575']]"
Configurable Low-Cost Plotter Device for Fabrication of Multi-Color Sub-Cellular Scale Microarrays,"['Arrabito, Giuseppe', 'Schroeder, Hendrik', 'Schroeder, Kathrin', 'Filips, Christian;', 'Marggraf, Ulrich', 'Dopp, Christian;', 'Venkatachalapathy, Muthukumaran', 'Dehmelt, Leif', 'Bastiaens, Philippe I. H.', 'Neyer, Andreas', 'Niemeyer, Christof M.']",SMALL,10,14,JUL 23 2014,niemeyer@kit.edu,"TU Dortmund, Fak Chem & Chem Biol, Otto Hahn Str 6, D-44227 Dortmund, Germany.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'LIVING-CELL', 'LITHOGRAPHY', 'ARRAYS', 'SYSTEMS']","[['Max-Planck Society', ''], ['BMBF', '0315258'], ['DAAD-Siemens scholarship', '']]"
Scale/Topography of Substrates Surface Resembling Extracellular Matrix for Tissue Engineering,"['Resende, Rodrigo R.', 'Fonseca, Emerson A.', 'Tonelli, Fernanda M. P.', 'Sousa, Bruna R.', 'Santos, Anderson K.', 'Gomes, Katia N.', 'Guatimosim, Silvia', 'Kihara, Alexandre H.', 'Ladeira, Luiz Orlando']",JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,10,7,Jul-14,resende@icb.ufmg.br,"Univ Fed Minas Gerais, Dept Biochem & Immunol, Cell Signaling & Nanobiotechnol Lab, BR-31270901 Belo Horizonte, MG, Brazil.","['Science & Technology - Other Topics', 'Materials Science']","['Nanobiotechnology', 'Stem Cells', 'Tissue Engineering', 'Top-Down Approach', 'Extracellular Matrix']","['EMBRYONIC STEM-CELLS', '3-DIMENSIONAL COLLAGEN MATRICES', 'ULTRATHIN FIBRONECTIN FIBERS', 'INTEGRATIVE CARTILAGE REPAIR', 'NANO-STRUCTURED SURFACES', 'POLYMER-PEN LITHOGRAPHY', 'DRUG CONTROLLED-RELEASE', 'FOCAL ADHESION KINASE', 'FIBRO-POROUS MESHES', 'GLYCOL BLEND FIBERS']","[['CNPq (Conselho Nacional de Desenvolvimento Cientifico e Tecnologico)', ''], ['FAPEMIG (Fundacao de Amparo a Pesquisa do Estado de Minas Gerais)', ''], ['FAPESP (Fundacao de Amparo a Pesquisa do Estado de Sao Paulo)', '']]"
Material transport in dip-pen nanolithography,"['Brown, Keith A.', 'Eichelsdoerfer, Daniel J.', 'Liao, Xing', 'He, Shu', 'Mirkin, Chad A.']",FRONTIERS OF PHYSICS,9,3,Jun-14,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Physics'],"['dip-pen nanolithography', 'scanning probe lithography', 'materials transport']","['SELF-ASSEMBLED MONOLAYERS', 'BLOCK-COPOLYMER LITHOGRAPHY', 'MOLECULAR-TRANSPORT', 'CONDUCTING POLYMER', 'CLICK CHEMISTRY', 'MENISCUS FORMATION', 'INK TRANSPORT', 'SILICON-OXIDE', 'RHODAMINE 6G', 'SURFACES']","[['U.S. Air Force Office of Scientific Research (AFOSR)', 'FA9550-12-1-0280\xa0\nFA9550-12-1-0141'], ['Defense Advanced Research Projects Agency (DARPA)', 'N66001-08-1-2044'], ['National Science Foundation (NSF)', 'DBI-1152139\xa0\nDMB-1124131'], [""Northwestern University's International Institute for Nanotechnology"", ''], ['DoD', ''], ['AFOSR', '32 CFR 168a']]"
A pertureless beam pen lithography based on fully metal-coated polyurethane-acrylate (PUA) pyramidal microstructure array,"['Wu, Chun-Ying', 'Lee, Yung-Chun']",OPTICS EXPRESS,22,9,MAY 5 2014,yunglee@mail.ncku.edu.tw,"Natl Cheng Kung Univ, Dept Mech Engn, Tainan 701, Taiwan.",['Optics'],[],"['NSOM LITHOGRAPHY', 'FIELD', 'FABRICATION', 'MODULUS', 'SILICON', 'MOLD']","[['National Science Council of Taiwan', 'NSC 102-2120-M-006-001-CC1']]"
Order quantification of hexagonal periodic arrays fabricated by in situ solvent-assisted nanoimprint lithography of block copolymers,"['Simao, Claudia', 'Khunsin, Worawut', 'Kehagias, Nikolaos', 'Salaun, Mathieu', 'Zelsmann, Marc', 'Morris, Michael A.', 'Sotomayor Torres, Clivia M.']",NANOTECHNOLOGY,25,17,MAY 2 2014,claudia.simao@icn.cat,"Inst Catala Nanociencia & Nanotecnol, Campus UAB, Barcelona 08193, Spain.","['Science & Technology - Other Topics', 'Materials Science', 'Physics']","['directed self-assembly', 'nanoimprint lithography', 'block copolymers', 'nanometrology', 'GISAXS']","['THIN-FILMS', 'MICROPHASE SEPARATION', 'IMPRINT LITHOGRAPHY', 'DIBLOCK COPOLYMERS', 'SOLAR-CELLS', 'DIFFUSION', 'SURFACES', 'NANOFABRICATION', 'NANOSTRUCTURES', 'MORPHOLOGIES']","[['European Union', '245 565'], ['NANOFUNCTION', '257 375\xa0\nFP7-ICT-2009-5'], ['Spanish Ministry of Economics and Competitiveness under project TAPHOR', 'MAT2012-31392'], ['ICREA', '']]"
"Luminal Surface Engineering, 'Micro and Nanopatterning': Potential for Self Endothelialising Vascular Grafts?","['Chong, D. S. T.', 'Lindsey, B.', 'Dalby, M. J.', 'Gadegaard, N.', 'Seifalian, A. M.', 'Hamilton, G.']",EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,47,5,May-14,g.hamilton@ucl.ac.uk,"Royal Free London NHS Fdn Trust, Dept Vasc Surg, Pond St, London NW3 2QG, England.","['Surgery', 'Cardiovascular System & Cardiology']","['Endothelialisation', 'Surface topography', 'Vascular grafts']","['BONDED EPTFE GRAFT', 'CELL MIGRATION', 'SAPHENOUS-VEIN', 'CONFORMATIONAL-CHANGES', 'SIGNAL-TRANSDUCTION', 'PLATELET-ADHESION', 'SHEAR-STRESS', 'HUMAN BLOOD', 'NANOTOPOGRAPHY', 'SCAFFOLDS']","[['Wellcome Trust', ''], ['Royal Free Charity', ''], ['European Society of Vascular Surgery', '']]"
Beam pen lithography based on arrayed polydimethylsiloxane (PDMS) micro-pyramids spin-coated with carbon black photo-resist,"['Chen, Yu-Zen', 'Wu, Chun-Ying', 'Lee, Yung-Chun']",JOURNAL OF MICROMECHANICS AND MICROENGINEERING,24,4,Apr-14,yunglee@mail.ncku.edu.tw,"Natl Cheng Kung Univ, Dept Mech Engn, Tainan 70101, Taiwan.","['Engineering', 'Science & Technology - Other Topics', 'Instruments & Instrumentation', 'Physics']","['beam pen lithography', 'polydimethylsiloxane', 'carbon black photo-resist', 'spin-coating']","['SOFT LITHOGRAPHY', 'SILICON']","[['National Science Council (NSC) of Taiwan', 'NSC102-2120-M-006-001-CC1']]"
Integrated Micro/Nanoengineered Functional Biomaterials for Cell Mechanics and Mechanobiology: A Materials Perspective,"['Shao, Yue', 'Fu, Jianping']",ADVANCED MATERIALS,26,10,Mar-14,jpfu@umich.edu,"Univ Michigan, Dept Mech Engn, Integrated Biosyst & Biomech Lab, Ann Arbor, MI 48109 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['micro', 'nanoengineering', 'biomaterials', 'mechanobiology', 'cell mechanics', 'cell-material interactions']","['EMBRYONIC STEM-CELLS', 'SELF-ASSEMBLED MONOLAYERS', 'BLOCK-COPOLYMER LITHOGRAPHY', 'MICROPOST ARRAY MEMBRANE', 'DIP-PEN NANOLITHOGRAPHY', 'FOCAL ADHESION DYNAMICS', 'CLICK-BASED HYDROGELS', 'BREAST-CANCER CELLS', 'ON-A-CHIP', 'TUMOR-CELL']","[['National Science Foundation', 'CMMI 1129611\xa0\nCBET 1149401\xa0\nECCS 1231826\xa0\nCBET 1263889'], ['National Institute of Health', '1R21HL114011'], ['American Heart Association', '12SDG12180025'], ['Department of Mechanical Engineering at the University of Michigan, Ann Arbor', '']]"
Tip Induced Crystallization Lithography,"['Zhang, Xin', 'Weeks, Brandon L.']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,136,4,JAN 29 2014,Brandon.weeks@ttu.edu,"Texas Tech Univ, Dept Chem Engn, Lubbock, TX 79409 USA.",['Chemistry'],[],"['FIELD-EFFECT TRANSISTORS', 'ATOMIC-FORCE MICROSCOPE', 'DIP-PEN NANOLITHOGRAPHY', 'ORGANIC ENERGETIC MATERIALS', 'THIN-FILM TRANSISTORS', 'PENTAERYTHRITOL TETRANITRATE', 'PENTACENE PRECURSOR', 'CRYSTAL', 'NANOSCALE', 'ARRAYS']","[['ONR', 'N00014-11-1-0424'], ['U.S. Department of Homeland Security', '2008-ST-061-ED0001']]"
"Classic, liquid, and matrix-assisted dip-pen nanolithography for materials research","['Zhong, Jian', 'Sun, Gang', 'He, Dannong']",NANOSCALE,6,21,2014,jianzhongpku@hotmail.com; cjr.sungang@vip.163.com,"Natl Engn Res Ctr Nanotechnol, Shanghai 200241, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['ATOMIC-FORCE MICROSCOPY', 'SELF-ASSEMBLED MONOLAYERS', 'MOLECULAR-DYNAMICS SIMULATIONS', 'BLOCK-COPOLYMER LITHOGRAPHY', 'SCANNING PROBE LITHOGRAPHY', 'CARBON NANOTUBES', 'PATTERNING BIOMOLECULES', 'PROTEIN IMMOBILIZATION', 'INK TRANSPORT', 'NANOSTRUCTURES']","[['National Natural Science Foundation of China', '51203024'], ['National High Technology Research and Development Program of China (863 Program)', '2013AA032203'], ['National Basic Research Program of China', '2013CB932500'], ['Shanghai Pujiang Talent Program', '12PJ1430300'], ['Special Fund for Talents in Minhang District of Shanghai', '']]"
Chemistry and processing of resists for nanolithography,"['Novembre, A.', 'Liu, S.']",NANOLITHOGRAPHY: THE ART OF FABRICATING NANOELECTRONIC AND NANOPHOTONIC DEVICES AND SYSTEMS,UNDEFINED,42,2014,novembre@Princeton.EDU; liuse@us.ibm.com,"Princeton Univ, Princeton Inst Sci & Technol Mat, 70 Prospect Ave, Princeton, NJ 08540 USA.","['Engineering', 'Optics', 'Physics']","['chemically amplified resists', 'inorganic resists', 'photo acid generators', 'radiation chemical yields', 'resists for double patterning and double exposure processes', 'EUV resists', 'e-beam resists', 'immersion lithography compatible resists']","['CHEMICALLY AMPLIFIED RESISTS', 'ELECTRON-BEAM LITHOGRAPHY', 'ARF EXCIMER-LASER', 'EXTREME-ULTRAVIOLET LITHOGRAPHY', 'CALIXARENE NEGATIVE RESIST', 'SINGLE-LAYER PHOTORESISTS', 'NM IMMERSION LITHOGRAPHY', 'DIP-PEN NANOLITHOGRAPHY', 'PATTERN COLLAPSE ISSUE', 'HIGH-RESOLUTION']",[]
Nanostructures: fabrication and applications,"['Cheng, X.']",NANOLITHOGRAPHY: THE ART OF FABRICATING NANOELECTRONIC AND NANOPHOTONIC DEVICES AND SYSTEMS,UNDEFINED,42,2014,chengx@ece.tamu.edu,"Texas A&M Univ, Dept Elect & Comp Engn, College Stn, TX 77843 USA.","['Engineering', 'Optics', 'Physics']","['nanostructure', 'quantum dot', 'quantum well', 'lithography', 'plasmonic']","['DIP-PEN NANOLITHOGRAPHY', 'IMPRINT LITHOGRAPHY', 'BLOCK-COPOLYMERS', 'GROWTH', 'PLASMONICS', 'RESOLUTION', 'OXIDE', 'ELECTRONICS', 'PATTERNS', 'FILMS']",[]
Generation of plasmonic Au nanostructures in the visible wavelength using two-dimensional parallel dip-pen nanolithography,"['Jang, Jae-Won', 'Park, ByeongChan', 'Nettikadan, Saju']",NANOSCALE,6,14,2014,jjang@pknu.ac.kr,"Pukyong Natl Univ, Dept Phys, Pusan 608737, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['NEGATIVE REFRACTIVE-INDEX', 'OPTICAL METAMATERIALS', 'PHOTONIC CRYSTALS', 'LITHOGRAPHY', 'SCALE', 'FEATURES', 'NM']","[['National Research Foundation of Korea (NRF) - Ministry of Education, Science and Technology', 'NRF-2013K1A3A1A32035429\xa0\nNRF-2012R1A1A1041394\xa0\nNRF-2013K2A2A4003362']]"
Combinatorial Screening of Mesenchymal Stem Cell Adhesion and Differentiation Using Polymer Pen Lithography,"['Cabezas, Maria D.', 'Eichelsdoerfer, Daniel J.', 'Brown, Keith A.', 'Mrksich, Milan', 'Mirkin, Chad A.']","MICROPATTERNING IN CELL BIOLOGY, PT A",119,UNDEFINED,2014,UNDEFINED,"Northwestern Univ, Dept Chem, Evanston, IL 60208 USA.",['Cell Biology'],[],"['NANOLITHOGRAPHY', 'FATE']","[['NCI NIH HHS', 'U54CA151880\xa0\nU54 CA151880']]"
"Beam pen lithography as a new tool for spatially controlled photochemistry, and its utilization in the synthesis of multivalent glycan arrays","['Bian, Shudan', 'Zieba, Sylwia B.', 'Morris, William', 'Han, Xu', 'Richter, Daniel C.', 'Brown, Keith A.', 'Mirkin, Chad A.', 'Braunschweig, Adam B.']",CHEMICAL SCIENCE,5,5,2014,chadnano@northwestern.edu; a.braunschweig@miami.edu,"Univ Miami, Dept Chem, Coral Gables, FL 33146 USA.",['Chemistry'],[],"['RADICAL POLYMERIZATION TECHNIQUES', 'THIOL-ENE', 'CLICK CHEMISTRY', 'CARBOHYDRATE MICROARRAYS', 'STAUDINGER LIGATION', 'CONCANAVALIN-A', 'SURFACE', 'BRUSHES', 'LECTINS', 'BINDING']","[['Air Force Office of Scientific Research (Young Investigator Award)', 'FA9550-13-1-0188'], ['National Science Foundation', 'DBI-1340038'], ['Chicago Biomedical Consortium/Searle Funds at The Chicago Community Trust', 'C2006-00997/L-003'], [""Northwestern University's International Institute for Nanotechnology"", ''], ['Center for Cancer Nanotechnology Excellence (CCNE)', ''], ['National Institutes of Health (NIH)', 'U54 CA151880'], ['', 'AFOSR FA9550-121-0141'], ['', 'AFOSR FA9550-12-1-0280'], ['', 'NSF DBI-1152139'], ['', 'AOARD- FA2386-10-1-4065'], ['', 'DARPA/MTO N66001-08-1-2044,']]"
In situ synthesis of large-area single sub-10 nm nanoparticle arrays by polymer pen lithography,"['Wu, Jin', 'Zan, Xiaoli', 'Li, Shaozhou', 'Liu, Yayuan', 'Cui, Chenlong', 'Zou, Binghua', 'Zhang, Weina', 'Xu, Hongbo', 'Duan, Hongwei', 'Tian, Danbi', 'Huang, Wei', 'Huo, Fengwei']",NANOSCALE,6,2,2014,fwhuo@ntu.edu.sg,"Nanjing Tech Univ, Inst Adv Mat, 30 South Puzhu Rd, Nanjing 211816, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['BLOCK-COPOLYMER LITHOGRAPHY', 'GOLD NANOPARTICLES', 'NANOLITHOGRAPHY', 'NANOSTRUCTURES', 'CONDUCTORS', 'PROTEINS', 'SURFACES', 'SILICON', 'METALS']","[['National Basic Research Program of China', '2009CB930600\xa0\n2012CB723402'], ['Key Projects in Jiangsu Province for International Cooperation', 'BZ2010043'], ['AcRF Tier 1 from the Ministry of Education, Singapore', 'RG 42/10'], ['AcRF Tier 2 from the Ministry of Education, Singapore', 'RG 17/12']]"
Integrated MEMS Actuators for Sub-Micron Patterning on Thin Polymer Films,"['Mehdizadeh, Emad', 'Pourkamali, Siavash']",IECON 2014 - 40TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY,UNDEFINED,UNDEFINED,2014,Emad.mehdizadeh@utdallas.edu,"Univ Texas Dallas, Dept Elect Engn, Richardson, TX 75083 USA.","['Automation & Control Systems', 'Engineering']","['MEMS', 'electro-thermal actutors', 'scanning probe lithography', 'pattern generation', 'photoresist']","['LITHOGRAPHY', 'SYSTEMS', 'COPOLYMERS']",[]
Direct write nanolithography,"['Radha, B.', 'Kulkarni, G. U.']",NANOSCIENCE: VOL 2: NANOSTRUCTURES THROUGH CHEMISTRY,UNDEFINED,UNDEFINED,2014,kulkarni@jncasr.ac.in,"Jawaharlal Nehru Ctr Adv Sci Res, Chem & Phys Mat Unit, Jakkur PO, Bangalore 560064, Karnataka, India.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science']",[],"['DIP-PEN NANOLITHOGRAPHY', 'ELECTRON-BEAM LITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'CHEMICAL-VAPOR-DEPOSITION', 'THIN-FILMS', 'NANOIMPRINT LITHOGRAPHY', 'IMPRINT LITHOGRAPHY', 'INDUCED METALLIZATION', 'SOFT-LITHOGRAPHY', 'PD NANOWIRES']",[]
Role of Absorbed Solvent in Polymer Pen Lithography,"['Eichelsdoerfer, Daniel J.', 'Brown, Keith A.', 'Wang, Mary X.', 'Mirkin, Chad A.']",JOURNAL OF PHYSICAL CHEMISTRY B,117,50,DEC 19 2013,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.",['Chemistry'],[],"['TIP ARRAYS', 'MICROFLUIDIC DEVICES', 'NANOLITHOGRAPHY', 'PROTEINS', 'WATER']","[['DARPA/MTO', 'N66001-08-1-2044'], ['AFOSR', 'FA9550-12-1-0280\xa0\nFA9550-12-1-0141'], ['NSF', 'DMB-1124131'], ['DoD, Air Force Office of Scientific Research, for a National Defense Science and Engineering Graduate (NDSEG) Fellowship', '32 CFR 168a'], [""Northwestern University's International Institute for Nanotechnology"", ''], ['National Science Foundation Graduate Research Fellowship (NSFGRFP)', ''], ['Northwestern University Ryan Fellowship', '']]"
User-Friendly Universal and Durable Subcellular-Scaled Template for Protein Binding: Application to Single-Cell Patterning,"['Jang, Jae-Won', 'Collins, John M.', 'Nettikadan, Saju']",ADVANCED FUNCTIONAL MATERIALS,23,47,DEC 17 2013,jjang@pknu.ac.kr,"Pukyong Natl Univ, Dept Phys, Pusan 608737, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['dip-pen nanolithography', 'protein patterning', 'nanostructures', 'aldehyde-amine reaction', 'cell patterning']","['DIP-PEN NANOLITHOGRAPHY', 'OXIDE SURFACES', 'LITHOGRAPHY', 'ARRAYS', 'IMMOBILIZATION', 'STRATEGIES', 'NANOARRAYS', 'GOLD', 'OLIGONUCLEOTIDES', 'NANOSTRUCTURES']","[['Basic Science Research Program through the National Research Foundation of Korea (NRF)', ''], ['Ministry of Education, Science and Technology', '2012R1A1A1041394'], ['Industrial Strategic technology development program', '1037416'], ['Ministry of Knowledge Economy (MKE, Korea)', '']]"
Optimization of nanofountain probe microfabrication enables large-scale nanopatterning,"['Safi, Asmahan', 'Kang, Wonmo', 'Czapleski, David', 'Divan, Ralu', 'Moldovan, Nicolae', 'Espinosa, Horacio D.']",JOURNAL OF MICROMECHANICS AND MICROENGINEERING,23,12,Dec-13,espinosa@northwestern.edu,"Northwestern Univ, Dept Mech Engn, 2145 Sheridan Rd, Evanston, IL 60202 USA.","['Engineering', 'Science & Technology - Other Topics', 'Instruments & Instrumentation', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'DIRECT DELIVERY', 'STEP COVERAGE', 'NANOTECHNOLOGY', 'SILICON', 'NANOFABRICATION', 'LITHOGRAPHY', 'ELECTRONICS', 'DEPOSITION', 'RESOLUTION']","[['Nanoscale Science and Engineering Initiative of the National Science Foundation (NSF) under NSF', 'EEC-0647560'], ['US Department of Energy, Office of Basic Energy Sciences', 'DE-AC02-06CH11357'], ['NSF', 'ECS-0335765']]"
Large-area molecular patterning with polymer pen lithography,"['Eichelsdoerfer, Daniel J.', 'Liao, Xing', 'Cabezas, Maria D.', 'Morris, William', 'Radha, Boya', 'Brown, Keith A.', 'Giam, Louise R.', 'Braunschweig, Adam B.', 'Mirkin, Chad A.']",NATURE PROTOCOLS,8,12,Dec-13,chadnano@northwestern.edu,"Northwestern Univ, Dept Chem, Evanston, IL 60208 USA.",['Biochemistry & Molecular Biology'],[],"['BLOCK-COPOLYMER LITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'TIP ARRAYS', 'SOFT LITHOGRAPHY', 'HIGH-RESOLUTION', 'NANOLITHOGRAPHY', 'MICROFABRICATION', 'NANOSTRUCTURES', 'FABRICATION', 'DIMENSIONS']","[['US Defense Advanced Research Projects Agency (DARPA) Microsystems Technology Office (MTO)', 'N66001-08-1-2044'], ['Asian Office of Aerospace Research and Development (AOARD)', 'FA2386-10-1-4065'], ['Air Force Office of Scientific Research (AFOSR)', 'FA9550-12-1-0280\xa0\nFA9550-12-1-0141'], ['US National Science Foundation', 'DBI-1152139\xa0\nDBI-1152169\xa0\nDMB-1124131'], ['Department of Defense (DoD)/Naval Postgraduate School (NPS)/National Security Science and Engineering Faculty (NSSEF)', 'N00244-09-1-0012\xa0\nN00244-09-1-0071'], ['Chicago Biomedical Consortium', ''], ['Searle Funds at The Chicago Community Trust', ''], ['Center of Cancer Nanotechnology Excellence (CCNE) initiative of the US National Institutes of Health (NIH)', 'U54 CA151880'], ['DoD', ''], ['Air Force Office of Scientific Research', ''], ['National Defense Science and Engineering Graduate Fellowship (NDSEG)', '32 CFR 168a'], ['Ryan Fellowship from Northwestern University', ''], [""Northwestern University's International Institute for Nanotechnology"", ''], ['Indo-US Science and Technology Forum (IUSSTF)', ''], ['NSF', '']]"
Cantilever-free thermal actuation,"['Brown, Keith A.', 'Eichelsdoerfer, Daniel J.;', 'Mirkin, Chad A.']",JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,31,6,Nov-13,UNDEFINED,"Northwestern Univ, Dept Chem, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Engineering', 'Science & Technology - Other Topics', 'Physics']",[],"['DIP-PEN NANOLITHOGRAPHY', 'FORCE MICROSCOPY', 'PROBE ARRAYS', 'TIP ARRAYS', 'LITHOGRAPHY', 'SENSORS', 'EXPANSION']","[['U.S. Air Force Office of Scientific Research (AFOSR)', 'FA9550-12-1-0280\xa0\nFA9550-12-1-0141'], ['Defense Advanced Research Projects Agency (DARPA)', 'N66001-08-1-2044'], ['National Science Foundation (NSF)', 'DBI-1152139\xa0\nDMB-1124131'], [""Northwestern University's International Institute for Nanotechnology"", ''], ['DoD', ''], ['AFOSR', '32 CFR 168a']]"
Interdigitated Multicolored Bioink Micropatterns by Multiplexed Polymer Pen Lithography,"['Brinkmann, Falko', 'Hirtz, Michael', 'Greiner, Alexandra M.', 'Weschenfelder, Markus', 'Waterkotte, Bjoern', 'Bastmeyer, Martin', 'Fuchs, Harald']",SMALL,9,19,OCT 11 2013,michael.hirtz@kit.edu; fuchsh@uni-muenster.de,"Karlsruhe Inst Technol, Inst Nanotechnol INT, D-76021 Karlsruhe, Germany.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['polymer pen lithography', 'bioinks', 'multiplexing', 'micropatterning', 'microarrays']","['TOPOGRAPHIC PROJECTIONS', 'CELL-MIGRATION', 'FEATURE SIZE', 'NANOLITHOGRAPHY', 'GRADIENTS', 'ARRAYS', 'FIBRONECTIN', 'SURFACES', 'FORCE', 'MICROARRAYS']","[['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', '']]"
Plow and Ridge Nanofabrication,"['Shim, Wooyoung', 'Brown, Keith A.', 'Zhou, Xiaozhu', 'Rasin, Boris', 'Liao, Xing', 'Schmucker, Abrin L.', 'Mirkin, Chad A.']",SMALL,9,18,SEP 23 2013,chadnano@northwestern.edu,"Northwestern Univ, Dept Mat Sci & Engn, 2220 Campus Dr, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['atomic force microscopy', 'nanolithography', 'polymers', 'scanning probe microscopy', 'nanofabrication']","['ATOMIC-FORCE-MICROSCOPE', 'DIP-PEN NANOLITHOGRAPHY', 'NANOMETER-SCALE', 'LITHOGRAPHY', 'FABRICATION', 'NANOINDENTATION', 'NANOSTRUCTURES', 'FILMS', 'TIP']","[['DARPA/MTO', 'N66001-08-1-2044'], ['AOARD', 'FA2386-10-1-4065'], ['AFOSR', 'FA955-012-1-0280\xa0\nFA9550-12-1-0141'], ['DoD/NPS/NSSEF', 'N00244-09-1-0012\xa0\nN00244-09-1-0071'], ['Chicago Biomedical Consortium', ''], ['Chicago Community Trust', ''], ['CCNE initiative of NIH', 'U54 CA151880'], [""Northwestern University's International Institute for Nanotechnology"", ''], ['', 'DBI-1152139'], ['', 'DMB-1124131']]"
